04/16/2022 07:20:18 PM GIVE CHANGE 2.00 0.00
04/16/2022 07:20:46 PM FEED MONEY 0.00 2.00
04/16/2022 07:20:46 PM GIVE CHANGE 2.00 0.00
04/16/2022 07:21:05 PM FEED MONEY 0.00 2.00
04/16/2022 07:21:05 PM GIVE CHANGE 2.00 0.00
04/16/2022 07:22:19 PM FEED MONEY 0.00 2.00
04/16/2022 07:22:19 PM GIVE CHANGE 2.00 0.00
04/16/2022 07:23:54 PM FEED MONEY 0.00 2.00
04/16/2022 07:23:54 PM GIVE CHANGE 2.00 0.00
04/16/2022 07:25:39 PM FEED MONEY 0.00 2.00
04/16/2022 07:25:39 PM GIVE CHANGE 2.00 0.00
04/16/2022 07:27:55 PM FEED MONEY 0.00 2.00
04/16/2022 07:27:55 PM GIVE CHANGE 2.00 0.00
04/16/2022 07:32:44 PM FEED MONEY 0.00 2.00
04/16/2022 07:32:44 PM GIVE CHANGE 2.00 0.00
04/16/2022 07:32:44 PM FEED MONEY 0.00 2.00
04/16/2022 07:36:32 PM FEED MONEY 0.00 2.00
04/16/2022 07:36:33 PM GIVE CHANGE 2.00 0.00
04/16/2022 07:36:33 PM FEED MONEY 0.00 2.00
04/16/2022 07:36:33 PM GIVE CHANGE 0.25 0.00
04/16/2022 07:38:45 PM FEED MONEY 0.00 2.00
04/16/2022 07:38:46 PM GIVE CHANGE 2.00 0.00
04/16/2022 07:38:46 PM FEED MONEY 0.00 2.00
04/16/2022 07:38:46 PM GIVE CHANGE 0.25 0.00
04/16/2022 07:38:46 PM FEED MONEY 0.00 2.00
04/16/2022 07:40:41 PM FEED MONEY 0.00 2.00
04/16/2022 07:40:41 PM GIVE CHANGE 2.00 0.00
04/16/2022 07:40:41 PM FEED MONEY 0.00 2.00
04/16/2022 07:40:41 PM GIVE CHANGE 0.25 0.00
04/16/2022 07:40:41 PM FEED MONEY 0.00 2.00
04/16/2022 07:49:26 PM FEED MONEY 0.00 2.00
04/16/2022 07:49:26 PM GIVE CHANGE 2.00 0.00
04/16/2022 07:49:26 PM FEED MONEY 0.00 2.00
04/16/2022 07:51:43 PM FEED MONEY 0.00 2.00
04/16/2022 07:51:44 PM GIVE CHANGE 2.00 0.00
04/16/2022 07:51:44 PM FEED MONEY 0.00 2.00
04/16/2022 07:51:44 PM GIVE CHANGE 0.25 0.00
04/16/2022 07:51:44 PM FEED MONEY 0.00 2.00
04/16/2022 08:13:46 PM FEED MONEY 0.00 2.00
04/16/2022 08:13:46 PM GIVE CHANGE 2.00 0.00
04/16/2022 08:13:46 PM FEED MONEY 0.00 2.00
04/16/2022 08:13:46 PM GIVE CHANGE 0.25 0.00
04/16/2022 08:13:46 PM FEED MONEY 0.00 2.00
04/16/2022 08:13:46 PM GIVE CHANGE 0.40 0.00
04/16/2022 08:14:13 PM FEED MONEY 0.00 1.00
04/16/2022 08:14:18 PM FEED MONEY 1.00 3.00
04/16/2022 08:14:26 PM FEED MONEY 3.00 8.00
04/16/2022 08:14:31 PM FEED MONEY 8.00 18.00
04/16/2022 08:14:36 PM Triplemint 18.00 17.25
04/16/2022 08:14:42 PM Chiclets 17.25 16.50
04/16/2022 08:14:45 PM GIVE CHANGE 16.50 0.00
04/16/2022 08:20:45 PM FEED MONEY 0.00 2.00
04/16/2022 08:20:45 PM GIVE CHANGE 2.00 0.00
04/16/2022 08:20:45 PM FEED MONEY 0.00 2.00
04/16/2022 08:20:45 PM GIVE CHANGE 0.25 0.00
04/16/2022 08:20:45 PM FEED MONEY 0.00 2.00
04/16/2022 08:20:45 PM GIVE CHANGE 0.40 0.00
04/16/2022 08:22:32 PM FEED MONEY 0.00 2.00
04/16/2022 08:22:33 PM GIVE CHANGE 2.00 0.00
04/16/2022 08:22:33 PM FEED MONEY 0.00 2.00
04/16/2022 08:22:33 PM GIVE CHANGE 0.25 0.00
04/16/2022 08:22:33 PM FEED MONEY 0.00 2.00
04/16/2022 08:22:33 PM GIVE CHANGE 0.40 0.00
04/16/2022 08:22:33 PM GIVE CHANGE 0.00 0.00
04/16/2022 08:23:41 PM FEED MONEY 0.00 2.00
04/16/2022 08:23:42 PM GIVE CHANGE 2.00 0.00
04/16/2022 08:23:42 PM FEED MONEY 0.00 2.00
04/16/2022 08:23:42 PM GIVE CHANGE 0.25 0.00
04/16/2022 08:23:42 PM FEED MONEY 0.00 2.00
04/16/2022 08:23:42 PM GIVE CHANGE 0.40 0.00
04/16/2022 08:23:42 PM GIVE CHANGE 0.00 0.00
04/16/2022 08:23:42 PM GIVE CHANGE -5.00 0.00
04/16/2022 08:24:44 PM FEED MONEY 0.00 2.00
04/16/2022 08:24:44 PM GIVE CHANGE 2.00 0.00
04/16/2022 08:24:44 PM FEED MONEY 0.00 2.00
04/16/2022 08:24:44 PM GIVE CHANGE 0.25 0.00
04/16/2022 08:24:44 PM FEED MONEY 0.00 2.00
04/16/2022 08:24:44 PM GIVE CHANGE 0.40 0.00
04/16/2022 08:24:44 PM GIVE CHANGE 0.00 0.00
04/16/2022 08:24:44 PM GIVE CHANGE -5.00 0.00
04/16/2022 08:26:52 PM FEED MONEY 0.00 2.00
04/16/2022 08:26:52 PM GIVE CHANGE 2.00 0.00
04/16/2022 08:26:52 PM FEED MONEY 0.00 2.00
04/16/2022 08:26:52 PM GIVE CHANGE 0.25 0.00
04/16/2022 08:26:52 PM FEED MONEY 0.00 2.00
04/16/2022 08:26:52 PM GIVE CHANGE 0.40 0.00
04/16/2022 08:26:52 PM GIVE CHANGE 0.00 0.00
04/16/2022 08:26:52 PM GIVE CHANGE -5.00 0.00
04/16/2022 08:26:52 PM FEED MONEY 0.00 2.00
04/16/2022 08:26:52 PM GIVE CHANGE 0.04 0.00
04/16/2022 08:28:24 PM FEED MONEY 0.00 1.00
04/16/2022 08:28:24 PM FEED MONEY 1.00 3.00
04/16/2022 08:28:24 PM FEED MONEY 3.00 3.00
04/16/2022 08:28:24 PM FEED MONEY 0.00 2.00
04/16/2022 08:28:24 PM GIVE CHANGE 2.00 0.00
04/16/2022 08:28:24 PM FEED MONEY 0.00 2.00
04/16/2022 08:28:24 PM GIVE CHANGE 0.25 0.00
04/16/2022 08:28:24 PM FEED MONEY 0.00 2.00
04/16/2022 08:28:24 PM GIVE CHANGE 0.40 0.00
04/16/2022 08:28:24 PM GIVE CHANGE 0.00 0.00
04/16/2022 08:28:24 PM GIVE CHANGE -5.00 0.00
04/16/2022 08:28:24 PM FEED MONEY 0.00 2.00
04/16/2022 08:28:24 PM GIVE CHANGE 0.04 0.00
04/16/2022 08:28:24 PM FEED MONEY 0.00 1.00
04/16/2022 08:29:46 PM FEED MONEY 0.00 1.00
04/16/2022 08:29:46 PM FEED MONEY 1.00 3.00
04/16/2022 08:29:46 PM FEED MONEY 3.00 3.00
04/16/2022 08:29:46 PM FEED MONEY 0.00 2.00
04/16/2022 08:29:46 PM GIVE CHANGE 2.00 0.00
04/16/2022 08:29:46 PM FEED MONEY 0.00 2.00
04/16/2022 08:29:46 PM GIVE CHANGE 0.25 0.00
04/16/2022 08:29:46 PM FEED MONEY 0.00 2.00
04/16/2022 08:29:46 PM GIVE CHANGE 0.40 0.00
04/16/2022 08:29:46 PM GIVE CHANGE 0.00 0.00
04/16/2022 08:29:46 PM GIVE CHANGE -5.00 0.00
04/16/2022 08:29:46 PM FEED MONEY 0.00 2.00
04/16/2022 08:29:46 PM GIVE CHANGE 0.04 0.00
04/16/2022 08:29:46 PM FEED MONEY 0.00 1.00
04/16/2022 08:32:23 PM FEED MONEY 0.00 1.00
04/16/2022 08:32:36 PM FEED MONEY 0.00 1.00
04/16/2022 08:32:48 PM FEED MONEY 0.00 1.00
04/16/2022 08:39:01 PM FEED MONEY 0.00 1.00
04/16/2022 08:39:46 PM FEED MONEY 0.00 1.00
04/16/2022 08:39:46 PM FEED MONEY 1.00 3.00
04/16/2022 08:39:46 PM FEED MONEY 3.00 3.00
04/16/2022 08:39:46 PM FEED MONEY 0.00 2.00
04/16/2022 08:39:47 PM GIVE CHANGE 2.00 0.00
04/16/2022 08:39:47 PM FEED MONEY 0.00 2.00
04/16/2022 08:39:47 PM GIVE CHANGE 0.25 0.00
04/16/2022 08:39:47 PM FEED MONEY 0.00 2.00
04/16/2022 08:39:47 PM GIVE CHANGE 0.40 0.00
04/16/2022 08:39:47 PM GIVE CHANGE 0.00 0.00
04/16/2022 08:39:47 PM GIVE CHANGE -5.00 0.00
04/16/2022 08:39:47 PM FEED MONEY 0.00 2.00
04/16/2022 08:39:47 PM GIVE CHANGE 0.04 0.00
04/16/2022 08:39:47 PM FEED MONEY 0.00 1.00
04/16/2022 08:40:15 PM FEED MONEY 0.00 1.00
04/16/2022 08:40:15 PM FEED MONEY 1.00 3.00
04/16/2022 08:40:15 PM FEED MONEY 3.00 3.00
04/16/2022 08:40:15 PM FEED MONEY 0.00 2.00
04/16/2022 08:40:16 PM GIVE CHANGE 2.00 0.00
04/16/2022 08:40:16 PM FEED MONEY 0.00 2.00
04/16/2022 08:40:16 PM GIVE CHANGE 0.25 0.00
04/16/2022 08:40:16 PM FEED MONEY 0.00 2.00
04/16/2022 08:40:16 PM GIVE CHANGE 0.40 0.00
04/16/2022 08:40:16 PM GIVE CHANGE 0.00 0.00
04/16/2022 08:40:16 PM GIVE CHANGE -5.00 0.00
04/16/2022 08:40:16 PM FEED MONEY 0.00 2.00
04/16/2022 08:40:16 PM GIVE CHANGE 0.04 0.00
04/16/2022 08:40:16 PM FEED MONEY 0.00 1.00
04/16/2022 08:40:43 PM FEED MONEY 0.00 1.00
04/16/2022 08:40:57 PM Chiclets 1.00 0.25
04/16/2022 08:41:00 PM GIVE CHANGE 0.25 0.00
